"genres","title","rating","poster","totalRatings","releaseDate"
"[""Drama"","" Drama""]","The Queen's Gambit","8.8","https://m.media-amazon.com/images/M/MV5BM2EwMmRhMmUtMzBmMS00ZDQ3LTg4OGEtNjlkODk3ZTMxMmJlXkEyXkFqcGdeQXVyMjM5ODk1NDU@._V1_UX182_CR0,0,182,268_AL_.jpg","113,315","TV Mini-Series (2020)"
"[""Comedy"","" Comedy""]","Not Another Teen Movie (2001)","5.7","https://m.media-amazon.com/images/M/MV5BNTRhNWJmNTUtM2VhYi00NzdkLTgyYTUtMWMzMWI3MzFmNzk5XkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_UY268_CR0,0,182,268_AL_.jpg","96,789","14 December 2001 (USA)"
